iter	Passed	Remaining
0	160	160820
1	162	81172
2	164	54549
3	165	41205
4	167	33242
5	168	27917
6	169	24114
7	172	21338
8	173	19113
9	174	17304
10	175	15823
11	177	14592
12	178	13588
13	180	12740
14	182	11960
15	183	11290
16	185	10708
17	187	10207
18	188	9731
19	190	9310
20	191	8920
21	194	8642
22	195	8319
23	197	8013
24	198	7739
25	200	7508
26	202	7290
27	203	7065
28	204	6857
29	206	6662
30	207	6489
31	209	6322
32	210	6163
33	211	6013
34	212	5872
35	214	5740
36	215	5612
37	216	5490
38	218	5373
39	219	5261
40	220	5160
41	222	5064
42	223	4976
43	224	4883
44	226	4796
45	227	4714
46	228	4636
47	230	4564
48	231	4490
49	232	4422
50	234	4357
51	235	4290
52	236	4234
53	238	4173
54	239	4112
55	240	4055
56	241	3999
57	243	3947
58	244	3900
59	245	3848
60	246	3798
61	247	3751
62	249	3705
63	250	3663
64	252	3627
65	253	3585
66	254	3544
67	255	3506
68	257	3468
69	258	3435
70	259	3399
71	260	3363
72	262	3333
73	263	3300
74	264	3266
75	266	3239
76	268	3214
77	270	3193
78	271	3170
79	273	3148
80	275	3125
81	277	3104
82	278	3072
83	279	3049
84	281	3029
85	283	3009
86	284	2986
87	285	2962
88	287	2938
89	289	2927
90	290	2906
91	292	2883
92	293	2860
93	294	2842
94	296	2823
95	297	2803
96	298	2783
97	300	2762
98	301	2742
99	302	2724
100	304	2709
101	305	2690
102	306	2673
103	308	2655
104	309	2638
105	311	2623
106	312	2610
107	314	2594
108	315	2577
109	316	2561
110	317	2544
111	319	2529
112	320	2514
113	321	2500
114	323	2485
115	324	2471
116	325	2456
117	326	2443
118	328	2429
119	329	2415
120	330	2402
121	331	2386
122	332	2374
123	334	2364
124	335	2351
125	337	2338
126	338	2324
127	340	2316
128	341	2306
129	342	2293
130	343	2280
131	345	2268
132	346	2257
133	347	2245
134	348	2235
135	350	2224
136	351	2212
137	352	2201
138	353	2191
139	354	2180
140	356	2170
141	357	2157
142	358	2147
143	359	2137
144	360	2127
145	361	2116
146	363	2107
147	364	2098
148	365	2088
149	366	2079
150	368	2070
151	369	2061
152	370	2052
153	372	2043
154	373	2034
155	374	2025
156	375	2017
157	376	2009
158	378	2004
159	380	1996
160	381	1985
161	382	1978
162	383	1969
163	385	1962
164	386	1958
165	388	1950
166	389	1942
167	390	1934
168	391	1925
169	392	1918
170	394	1911
171	395	1903
172	396	1895
173	397	1888
174	398	1880
175	399	1872
176	401	1865
177	402	1858
178	403	1851
179	404	1844
180	405	1837
181	407	1829
182	408	1823
183	409	1816
184	410	1810
185	412	1803
186	413	1796
187	414	1789
188	415	1784
189	417	1778
190	418	1772
191	419	1766
192	420	1759
193	422	1753
194	423	1747
195	424	1742
196	425	1735
197	426	1729
198	428	1723
199	429	1716
200	430	1711
201	431	1705
202	432	1699
203	434	1693
204	435	1688
205	436	1682
206	437	1677
207	439	1672
208	440	1667
209	441	1661
210	442	1655
211	443	1650
212	445	1644
213	447	1641
214	448	1636
215	449	1630
216	450	1624
217	451	1618
218	452	1613
219	453	1608
220	455	1603
221	456	1598
222	457	1593
223	458	1588
224	459	1582
225	461	1579
226	462	1574
227	463	1569
228	464	1564
229	465	1559
230	466	1553
231	468	1549
232	469	1545
233	470	1540
234	471	1535
235	472	1530
236	473	1525
237	475	1521
238	476	1517
239	477	1512
240	478	1508
241	480	1503
242	481	1500
243	483	1496
244	484	1492
245	485	1487
246	486	1483
247	487	1478
248	488	1474
249	490	1471
250	491	1467
251	492	1462
252	493	1458
253	494	1453
254	496	1449
255	497	1444
256	498	1440
257	499	1436
258	500	1432
259	501	1428
260	502	1424
261	504	1420
262	505	1416
263	506	1412
264	507	1408
265	509	1404
266	510	1400
267	511	1396
268	513	1394
269	514	1390
270	515	1386
271	516	1382
272	518	1379
273	519	1376
274	521	1374
275	522	1371
276	523	1367
277	525	1363
278	526	1360
279	527	1356
280	529	1354
281	530	1351
282	532	1347
283	533	1343
284	534	1340
285	535	1337
286	536	1333
287	537	1329
288	538	1326
289	540	1322
290	541	1318
291	542	1314
292	543	1311
293	544	1308
294	545	1304
295	546	1300
296	548	1297
297	549	1293
298	550	1290
299	551	1287
300	552	1283
301	554	1280
302	555	1276
303	556	1273
304	557	1270
305	558	1267
306	559	1263
307	561	1260
308	562	1257
309	563	1253
310	564	1250
311	565	1247
312	566	1244
313	567	1240
314	569	1237
315	570	1233
316	571	1230
317	572	1227
318	573	1224
319	574	1221
320	575	1217
321	576	1214
322	577	1211
323	578	1207
324	580	1205
325	581	1202
326	582	1199
327	583	1195
328	584	1192
329	585	1189
330	587	1186
331	588	1184
332	589	1181
333	590	1178
334	591	1175
335	593	1171
336	594	1169
337	595	1166
338	596	1163
339	597	1160
340	598	1157
341	600	1154
342	601	1152
343	602	1149
344	603	1146
345	605	1143
346	606	1140
347	607	1137
348	608	1134
349	609	1132
350	610	1129
351	612	1126
352	613	1123
353	614	1121
354	615	1118
355	616	1115
356	617	1112
357	619	1110
358	620	1107
359	621	1104
360	622	1101
361	623	1099
362	625	1097
363	626	1094
364	627	1091
365	628	1089
366	630	1086
367	631	1084
368	632	1081
369	633	1078
370	634	1076
371	635	1073
372	636	1070
373	638	1068
374	639	1065
375	640	1063
376	641	1060
377	642	1057
378	643	1055
379	645	1052
380	646	1049
381	647	1047
382	648	1044
383	649	1042
384	650	1039
385	651	1036
386	652	1034
387	654	1031
388	655	1029
389	656	1027
390	657	1024
391	658	1021
392	659	1019
393	661	1016
394	662	1014
395	663	1011
396	664	1009
397	665	1006
398	666	1003
399	667	1001
400	668	998
401	669	996
402	671	994
403	672	991
404	673	989
405	674	986
406	675	984
407	676	981
408	677	979
409	678	977
410	680	974
411	681	972
412	682	969
413	683	967
414	684	964
415	685	962
416	686	960
417	687	957
418	688	955
419	690	952
420	691	950
421	692	948
422	693	946
423	694	943
424	695	941
425	697	939
426	698	936
427	699	934
428	700	932
429	701	929
430	702	927
431	703	925
432	704	922
433	705	920
434	706	918
435	708	915
436	709	913
437	710	911
438	711	909
